id,name,old_g1Wins,new_g1Wins,g1Titles
1,스페셜 위크,4,4,천황상(봄); 일본 더비; 천황상(가을); 재팬 컵
2,사일런스 스즈카,1,1,다카라즈카 기념
3,토카이 테이오,4,4,사츠키상; 일본 더비; 재팬 컵; 아리마 기념
4,마루젠스키,0,0,
5,후지 키세키,1,1,아사히배 3세 S
6,오구리 캡,3,3,야스다 기념; 마일 챔피언십; 아리마 기념(2회)
7,골드 쉽,5,5,사츠키상; 천황상(봄); 다카라즈카 기념(2회); 킷카상; 아리마 기념
8,보드카,6,6,빅토리아 마일; 일본 더비; 야스다 기념(2회); 천황상(가을); 재팬 컵; 한신 JF
9,다이와 스칼렛,4,4,오카상; 슈카상; 엘리자베스 여왕배; 아리마 기념
10,타이키 셔틀,3,4,야스다 기념; 스프린터즈 S; 마일 챔피언십(2회); 자크 르 마루아상(G1)
11,그래스 원더,3,3,다카라즈카 기념; 아사히배 3세 S; 아리마 기념(2회)
12,히시 아마존,2,2,엘리자베스 여왕배; 한신 3세 암말 S
13,메지로 맥퀸,3,3,천황상(봄)(2회); 다카라즈카 기념; 킷카상
14,엘 콘도르 파사,2,3,NHK 마일 C; 재팬 컵; 생클루 대상(G1)
15,티엠 오페라 오,6,6,사츠키상; 천황상(봄)(2회); 다카라즈카 기념; 천황상(가을); 재팬 컵; 아리마 기념
16,나리타 브라이언,5,5,사츠키상; 일본 더비; 킷카상; 아사히배 3세 S; 아리마 기념
17,심볼리 루돌프,6,6,사츠키상; 천황상(봄); 일본 더비; 킷카상; 재팬 컵; 아리마 기념(2회)
18,에어 그루브,2,2,오크스; 천황상(가을)
19,아그네스 디지털,4,6,페브러리 S; 야스다 기념; 천황상(가을); 마일 챔피언십; 마일 챔피언십 남부배(JpnI); 홍콩 컵(G1)
20,세이운 스카이,2,2,사츠키상; 킷카상
21,타마모 크로스,3,3,천황상(봄); 다카라즈카 기념; 천황상(가을)
22,파인 모션,2,2,슈카상; 엘리자베스 여왕배
23,비와 하야히데,3,3,천황상(봄); 다카라즈카 기념; 킷카상
24,마야노 탑건,4,4,천황상(봄); 다카라즈카 기념; 킷카상; 아리마 기념
25,맨하탄 카페,3,3,천황상(봄); 킷카상; 아리마 기념
26,미호노 부르봉,3,3,사츠키상; 일본 더비; 아사히배 3세 S
27,메지로 라이언,1,1,다카라즈카 기념
28,히시 아케보노,1,1,스프린터즈 S
29,유키노 비진,0,0,
30,라이스 샤워,2,2,천황상(봄)(2회); 킷카상
31,아이네스 후진,2,2,일본 더비; 아사히배 3세 S
32,아그네스 타키온,1,1,사츠키상
33,어드마이어 베가,1,1,일본 더비
34,이나리 원,3,4,천황상(봄); 다카라즈카 기념; 아리마 기념; 도쿄 대상전
35,위닝 티켓,1,1,일본 더비
36,에어 샤커,2,2,사츠키상; 킷카상
37,에이신 플래시,2,2,일본 더비; 천황상(가을)
38,카렌짱,2,2,다카마쓰노미야 기념; 스프린터즈 S
39,카와카미 프린세스,2,2,오크스; 슈카상
40,골드 시티,1,1,한신 3세 S
41,사쿠라 바쿠신 오,1,1,스프린터즈 S(2회)
42,시킹 더 펄,1,2,NHK 마일 C; 모리스 드 게스트상(G1)
43,신코 윈디,1,1,페브러리 S
44,스윕 토쇼,3,3,다카라즈카 기념; 슈카상; 엘리자베스 여왕배
45,슈퍼 크릭,3,3,천황상(봄); 킷카상; 천황상(가을)
46,스마트 팔콘,0,4,JBC 클래식(2회); 도쿄 대상전(2회); 제왕상; 가와사키 기념
47,젠노 롭 로이,3,3,천황상(가을); 재팬 컵; 아리마 기념
48,토센 조던,1,1,천황상(가을)
49,나카야마 페스타,1,1,다카라즈카 기념
50,나리타 타이신,1,1,사츠키상
51,니시노 플라워,3,3,오카상; 스프린터즈 S; 한신 3세 암말 S
52,하루 우라라,0,0,
53,뱀부 메모리,2,2,야스다 기념; 스프린터즈 S
54,비코 페가수스,0,0,
55,마블러스 선데이,1,1,다카라즈카 기념
56,마치카네 후쿠키타루,1,1,킷카상
57,미스터 시비,1,1,천황상(가을)
58,메이쇼 도토,1,1,다카라즈카 기념
59,메지로 도베르,4,4,오크스; 슈카상; 엘리자베스 여왕배(2회); 한신 3세 암말 S
60,나이스 네이처,0,0,
61,킹 헤일로,1,1,다카마쓰노미야 기념
62,마치카네 탄호이저,0,0,
63,이쿠노 딕터스,0,0,
64,메지로 파머,2,2,다카라즈카 기념; 아리마 기념
65,다이타쿠 헬리오스,1,1,마일 챔피언십(2회)
66,트윈 터보,0,0,
67,사토노 다이아몬드,2,2,킷카상; 아리마 기념
68,키타산 블랙,6,6,오사카배; 천황상(봄)(2회); 킷카상; 천황상(가을); 재팬 컵; 아리마 기념
69,사쿠라 치요노 오,2,2,일본 더비; 아사히배 3세 S
70,시리우스 심볼리,1,1,일본 더비
71,메지로 아르당,0,0,
72,야에노 무테키,2,2,사츠키상; 천황상(가을)
73,츠루마루 츠요시,0,0,
74,메지로 브라이트,1,1,천황상(봄)
75,데어링 택트,3,3,오카상; 오크스; 슈카상
76,사쿠라 로렐,2,2,천황상(봄); 아리마 기념
77,나리타 탑 로드,1,1,킷카상
78,야마닌 제퍼,2,2,야스다 기념(2회); 천황상(가을)
79,푸리오소,0,5,전일본 2세 우준; 재팬 더트 더비; 제왕상(2회); 가와사키 기념; 카시와 기념
80,트랜센드,2,3,페브러리 S; 재팬 컵 더트(2회); 마일 챔피언십 남부배(JpnI)
81,에스푸아르 시티,2,5,페브러리 S; 재팬 컵 더트; 카시와 기념(3회); 마일 챔피언십 남부배(3회); JBC 스프린트
82,노스 플라이트,2,2,야스다 기념; 마일 챔피언십
83,심볼리 크리스 에스,2,2,천황상(가을)(2회); 아리마 기념(2회)
84,타니노 김렛,1,1,일본 더비
85,다이이치 루비,2,2,야스다 기념; 스프린터즈 S
86,메지로 라모누,3,3,오카상; 오크스; 엘리자베스 여왕배
87,애스턴 마짱,1,1,스프린터즈 S
88,사토노 크라운,1,2,다카라즈카 기념; 홍콩 바즈(G1)
89,슈발 그랑,1,1,재팬 컵
90,베르시나,1,1,빅토리아 마일(2회)
91,비블로스,1,2,슈카상; 두바이 터프(G1)
92,단츠 플레임,1,1,다카라즈카 기념
93,케이에스 미라클,0,0,
94,정글 포켓,2,2,일본 더비; 재팬 컵
95,빌리브,2,2,다카마쓰노미야 기념; 스프린터즈 S
96,노 리즌,1,1,사츠키상
97,스틸 인 러브,3,3,오카상; 오크스; 슈카상
98,코파노 리키,1,6,페브러리 S(2회); JBC 클래식(2회); 제왕상; 카시와 기념(3회); 마일 챔피언십 남부배(2회); 도쿄 대상전
99,홋코 타루마에,1,6,챔피언스 C; 도쿄 대상전(2회); 가와사키 기념(3회); 카시와 기념; 제왕상(2회); JBC 클래식
100,원더 어큐트,0,3,JBC 클래식; 제왕상; 카시와 기념
101,삼손 빅,0,0,
102,사운즈 오브 어스,0,0,
103,로이스 앤 로이스,0,0,
104,카츠라기 에이스,2,2,다카라즈카 기념; 재팬 컵
105,네오 유니버스,2,2,사츠키상; 일본 더비
106,히시 미라클,3,3,천황상(봄); 다카라즈카 기념; 킷카상
107,탭 댄스 시티,2,2,다카라즈카 기념; 재팬 컵
108,두라멘테,2,2,사츠키상; 일본 더비
109,라인 크라프트,2,2,오카상; NHK 마일 C
110,세자리오,1,2,오크스; 아메리칸 오크스(G1)
111,에어 메사이어,1,1,슈카상
112,데어링 하트,0,0,
113,후사이치 판도라,1,1,엘리자베스 여왕배
114,부에나 비스타,6,6,오카상; 빅토리아 마일; 오크스; 천황상(가을); 재팬 컵; 한신 JF
115,오르페브르,5,5,사츠키상; 일본 더비; 다카라즈카 기념; 킷카상; 아리마 기념(2회)
116,젠틸돈나,5,6,오카상; 오크스; 슈카상; 재팬 컵(2회); 아리마 기념; 두바이 시마 클래식(G1)
117,윈 바리아시옹,0,0,
118,어드마이어 그루브,1,1,엘리자베스 여왕배(2회)
119,드림 저니,3,3,다카라즈카 기념; 아사히배 FS; 아리마 기념
120,칼스톤 라이트 오,1,1,스프린터즈 S
121,뒤랑달,2,2,스프린터즈 S; 마일 챔피언십(2회)
122,버블검 펠로,2,2,천황상(가을); 아사히배 3세 S
123,사쿠라 치토세 오,1,1,천황상(가을)
124,페노메노,1,1,천황상(봄)(2회)
125,블래스트 원피스,1,1,아리마 기념
126,아몬드 아이,6,7,오카상; 빅토리아 마일; 오크스; 슈카상; 천황상(가을)(2회); 재팬 컵(2회); 두바이 터프(G1)
127,럭키 라일락,3,3,오사카배; 엘리자베스 여왕배(2회); 한신 JF
128,그란 알레그리아,5,5,오카상; 빅토리아 마일; 야스다 기념; 스프린터즈 S; 마일 챔피언십(2회)
129,러브즈 온리 유,1,4,오크스; 퀸 엘리자베스 2세 C(G1); 브리더스컵 필리&메어 터프(G1); 홍콩 컵(G1)
130,크로노 제네시스,3,3,다카라즈카 기념(2회); 슈카상; 아리마 기념
131,카렌 부케도르,0,0,
132,스테이 골드,0,1,홍콩 바즈(G1)
133,레드 디자이어,1,1,슈카상
134,키세키,1,1,킷카상
135,포에버 영,0,5,"전일본 2세 우준(JpnI); 재팬 더트 클래식(JpnI); 도쿄 대상전(GI); 사우디 컵(2회, GI); 브리더스컵 클래식(GI)"
136,마르슈 로렌,0,1,브리더스컵 디스타프(GI)
137,에피파네이아,2,2,킷카상; 재팬 컵
138,로고타입,3,3,아사히배 FS; 사츠키상; 야스다 기념
139,빅투아르 피사,2,3,사츠키상; 아리마 기념; 두바이 월드컵(GI)
140,로즈 킹덤,2,2,아사히배 FS; 재팬 컵
141,룰러쉽,0,1,퀸 엘리자베스 2세 C(GI)
142,타이틀홀더,3,3,킷카상; 천황상(봄); 다카라즈카 기념
